seconds	V	A	mAh	SOC	SOD
18760	2.85	0.71	4607.61	7.85	92.15
18790	2.81	0.70	4613.44	7.73	92.27
18820	2.78	0.69	4619.19	7.62	92.38
18850	2.75	0.68	4624.86	7.50	92.50
18880	2.73	0.68	4630.53	7.39	92.61
18910	2.72	0.67	4636.11	7.28	92.72
18940	2.70	0.67	4641.69	7.17	92.83
18970	2.69	0.67	4647.28	7.05	92.95
19000	2.68	0.67	4652.86	6.94	93.06
19030	2.66	0.66	4658.36	6.83	93.17
19060	2.67	0.66	4663.86	6.72	93.28
19090	2.66	0.66	4669.36	6.61	93.39
19120	2.65	0.66	4674.86	6.50	93.50
19150	2.65	0.66	4680.36	6.39	93.61
19180	2.64	0.66	4685.86	6.28	93.72
19210	2.63	0.65	4691.28	6.17	93.83
19240	2.63	0.65	4696.69	6.07	93.93
19270	2.62	0.65	4702.11	5.96	94.04
19300	2.61	0.65	4707.53	5.85	94.15
19330	2.60	0.65	4712.94	5.74	94.26
19360	2.60	0.64	4718.28	5.63	94.37
19390	2.59	0.64	4723.61	5.53	94.47
19420	2.58	0.64	4728.94	5.42	94.58
19450	2.58	0.64	4734.28	5.31	94.69
19480	2.57	0.63	4739.53	5.21	94.79
19510	2.56	0.63	4744.78	5.10	94.90
19540	2.55	0.63	4750.03	5.00	95.00
19570	2.54	0.63	4755.28	4.89	95.11
19600	2.54	0.63	4760.53	4.79	95.21
19630	2.53	0.63	4765.78	4.68	95.32
19660	2.52	0.62	4770.94	4.58	95.42
19690	2.51	0.61	4776.03	4.48	95.52
19720	2.50	0.60	4781.03	4.38	95.62
