seconds	V	A	mAh
26640	3.83	0.95	1369.86
26670	3.83	0.95	1377.78
26700	3.83	0.95	1385.69
26730	3.83	0.95	1393.61
26760	3.83	0.95	1401.53
26790	3.83	0.95	1409.44
26820	3.82	0.95	1417.36
26850	3.82	0.95	1425.28
26880	3.82	0.95	1433.19
26910	3.82	0.95	1441.11
26940	3.82	0.95	1449.03
26970	3.82	0.95	1456.94
27000	3.82	0.95	1464.86
27030	3.81	0.95	1472.78
27060	3.81	0.95	1480.69
27090	3.81	0.95	1488.61
27120	3.81	0.95	1496.53
27150	3.81	0.95	1504.44
27180	3.81	0.95	1512.36
27210	3.81	0.95	1520.28
27240	3.81	0.95	1528.19
27270	3.81	0.95	1536.11
27300	3.81	0.95	1544.03
27330	3.80	0.95	1551.94
27360	3.80	0.95	1559.86
27390	3.80	0.95	1567.78
27420	3.80	0.95	1575.69
27450	3.80	0.95	1583.61
27480	3.80	0.94	1591.44
27510	3.80	0.94	1599.28
27540	3.80	0.94	1607.11
27570	3.79	0.94	1614.94
27600	3.79	0.94	1622.78
27630	3.79	0.94	1630.61
27660	3.79	0.94	1638.44
27690	3.79	0.94	1646.28
27720	3.79	0.94	1654.11
27750	3.79	0.94	1661.94
27780	3.79	0.94	1669.78
27810	3.79	0.94	1677.61
27840	3.78	0.94	1685.44
27870	3.78	0.94	1693.28
27900	3.78	0.94	1701.11
27930	3.78	0.94	1708.94
27960	3.78	0.94	1716.78
27990	3.78	0.94	1724.61
28020	3.78	0.94	1732.44
28050	3.78	0.94	1740.28
28080	3.77	0.94	1748.11
28110	3.77	0.94	1755.94
28140	3.77	0.94	1763.78
28170	3.77	0.94	1771.61
28200	3.77	0.94	1779.44
28230	3.77	0.94	1787.28
28260	3.77	0.94	1795.11
28290	3.77	0.94	1802.94
28320	3.76	0.94	1810.78
28350	3.76	0.94	1818.61
28380	3.76	0.94	1826.44
28410	3.76	0.94	1834.28
28440	3.76	0.94	1842.11
28470	3.76	0.93	1849.86
28500	3.76	0.93	1857.61
28530	3.76	0.93	1865.36
28560	3.76	0.93	1873.11
28590	3.75	0.93	1880.86
28620	3.75	0.93	1888.61
28650	3.75	0.93	1896.36
28680	3.75	0.93	1904.11
28710	3.75	0.93	1911.86
28740	3.75	0.93	1919.61
28770	3.74	0.93	1927.36
28800	3.74	0.93	1935.11
28830	3.74	0.93	1942.86
28860	3.74	0.93	1950.61
28890	3.74	0.93	1958.36
28920	3.74	0.93	1966.11
28950	3.73	0.93	1973.86
28980	3.73	0.93	1981.61
29010	3.73	0.93	1989.36
29040	3.73	0.93	1997.11
29070	3.73	0.93	2004.86
29100	3.73	0.93	2012.61
29130	3.73	0.93	2020.36
29160	3.72	0.93	2028.11
29190	3.72	0.93	2035.86
29220	3.72	0.93	2043.61
29250	3.72	0.92	2051.28
29280	3.72	0.92	2058.94
29310	3.71	0.92	2066.61
29340	3.71	0.92	2074.28
29370	3.71	0.92	2081.94
29400	3.71	0.92	2089.61
29430	3.71	0.92	2097.28
29460	3.71	0.92	2104.94
29490	3.70	0.92	2112.61
29520	3.70	0.92	2120.28
29550	3.70	0.92	2127.94
29580	3.70	0.92	2135.61
29610	3.69	0.92	2143.28
29640	3.69	0.92	2150.94
29670	3.69	0.92	2158.61
29700	3.69	0.92	2166.28
29730	3.69	0.92	2173.94
29760	3.68	0.92	2181.61
29790	3.68	0.92	2189.28
29820	3.68	0.91	2196.86
29850	3.68	0.91	2204.44
29880	3.68	0.91	2212.03
29910	3.67	0.91	2219.61
29940	3.67	0.91	2227.19
29970	3.67	0.91	2234.78
30000	3.67	0.91	2242.36
30030	3.67	0.91	2249.94
30060	3.66	0.91	2257.53
30090	3.66	0.91	2265.11
30120	3.66	0.91	2272.69
30150	3.66	0.91	2280.28
30180	3.66	0.91	2287.86
30210	3.65	0.91	2295.44
30240	3.65	0.91	2303.03
30270	3.65	0.91	2310.61
30300	3.64	0.91	2318.19
30330	3.64	0.91	2325.78
30360	3.64	0.90	2333.28
30390	3.63	0.90	2340.78
30420	3.63	0.90	2348.28
30450	3.63	0.90	2355.78
30480	3.63	0.90	2363.28
30510	3.63	0.90	2370.78
30540	3.62	0.90	2378.28
30570	3.62	0.90	2385.78
30600	3.62	0.90	2393.28
30630	3.61	0.90	2400.78
30660	3.61	0.90	2408.28
30690	3.61	0.90	2415.78
30720	3.61	0.90	2423.28
30750	3.61	0.90	2430.78
30780	3.60	0.90	2438.28
30810	3.60	0.90	2445.78
30840	3.60	0.89	2453.19
30870	3.59	0.89	2460.61
30900	3.59	0.89	2468.03
30930	3.59	0.89	2475.44
30960	3.59	0.89	2482.86
30990	3.59	0.89	2490.28
31020	3.58	0.89	2497.69
31050	3.58	0.89	2505.11
31080	3.58	0.89	2512.53
31110	3.58	0.89	2519.94
31140	3.58	0.89	2527.36
31170	3.57	0.89	2534.78
31200	3.57	0.89	2542.19
31230	3.57	0.89	2549.61
31260	3.57	0.89	2557.03
31290	3.57	0.89	2564.44
31320	3.57	0.89	2571.86
31350	3.56	0.89	2579.28
31380	3.56	0.89	2586.69
31410	3.56	0.89	2594.11
31440	3.56	0.89	2601.53
31470	3.56	0.88	2608.86
31500	3.56	0.88	2616.19
31530	3.56	0.88	2623.53
31560	3.55	0.88	2630.86
31590	3.55	0.88	2638.19
31620	3.55	0.88	2645.53
31650	3.55	0.88	2652.86
31680	3.55	0.88	2660.19
31710	3.54	0.88	2667.53
31740	3.54	0.88	2674.86
31770	3.54	0.88	2682.19
31800	3.53	0.88	2689.53
31830	3.53	0.88	2696.86
31860	3.53	0.88	2704.19
31890	3.53	0.88	2711.53
31920	3.53	0.88	2718.86
31950	3.52	0.88	2726.19
31980	3.52	0.88	2733.53
32010	3.52	0.87	2740.78
32040	3.51	0.87	2748.03
32070	3.51	0.87	2755.28
32100	3.51	0.87	2762.53
32130	3.51	0.87	2769.78
32160	3.50	0.87	2777.03
32190	3.50	0.87	2784.28
32220	3.50	0.87	2791.53
32250	3.49	0.87	2798.78
32280	3.49	0.87	2806.03
32310	3.49	0.87	2813.28
32340	3.49	0.87	2820.53
32370	3.49	0.87	2827.78
32400	3.48	0.87	2835.03
32430	3.48	0.87	2842.28
32460	3.48	0.87	2849.53
32490	3.48	0.87	2856.78
32520	3.47	0.87	2864.03
32550	3.47	0.87	2871.28
32580	3.47	0.87	2878.53
32610	3.47	0.87	2885.78
32640	3.46	0.86	2892.94
32670	3.46	0.86	2900.11
32700	3.46	0.86	2907.28
32730	3.46	0.86	2914.44
32760	3.46	0.86	2921.61
32790	3.46	0.86	2928.78
32820	3.45	0.86	2935.94
32850	3.45	0.86	2943.11
32880	3.45	0.86	2950.28
32910	3.44	0.86	2957.44
32940	3.44	0.86	2964.61
32970	3.44	0.86	2971.78
33000	3.44	0.86	2978.94
33030	3.44	0.85	2986.03
33060	3.43	0.85	2993.11
33090	3.43	0.85	3000.19
33120	3.43	0.85	3007.28
33150	3.43	0.85	3014.36
33180	3.43	0.85	3021.44
33210	3.42	0.85	3028.53
33240	3.42	0.85	3035.61
33270	3.42	0.85	3042.69
33300	3.42	0.85	3049.78
33330	3.42	0.85	3056.86
33360	3.41	0.85	3063.94
33390	3.41	0.85	3071.03
33420	3.41	0.85	3078.11
33450	3.41	0.85	3085.19
33480	3.41	0.85	3092.28
33510	3.41	0.85	3099.36
33540	3.40	0.85	3106.44
33570	3.40	0.85	3113.53
33600	3.40	0.84	3120.53
33630	3.40	0.84	3127.53
33660	3.40	0.84	3134.53
33690	3.40	0.84	3141.53
33720	3.39	0.84	3148.53
33750	3.39	0.84	3155.53
33780	3.39	0.84	3162.53
33810	3.38	0.84	3169.53
33840	3.38	0.84	3176.53
33870	3.38	0.84	3183.53
33900	3.38	0.84	3190.53
33930	3.38	0.84	3197.53
33960	3.37	0.84	3204.53
33990	3.37	0.84	3211.53
34020	3.37	0.84	3218.53
34050	3.37	0.84	3225.53
34080	3.37	0.84	3232.53
34110	3.36	0.84	3239.53
34140	3.36	0.84	3246.53
34170	3.36	0.83	3253.44
34200	3.36	0.83	3260.36
34230	3.35	0.83	3267.28
34260	3.35	0.83	3274.19
34290	3.35	0.83	3281.11
34320	3.35	0.83	3288.03
34350	3.34	0.83	3294.94
34380	3.34	0.83	3301.86
34410	3.34	0.83	3308.78
34440	3.34	0.83	3315.69
34470	3.33	0.83	3322.61
34500	3.33	0.83	3329.53
34530	3.33	0.83	3336.44
34560	3.33	0.83	3343.36
34590	3.33	0.83	3350.28
34620	3.32	0.83	3357.19
34650	3.32	0.83	3364.11
34680	3.32	0.83	3371.03
34710	3.32	0.82	3377.86
34740	3.32	0.82	3384.69
34770	3.32	0.82	3391.53
34800	3.31	0.82	3398.36
34830	3.31	0.82	3405.19
34860	3.31	0.82	3412.03
34890	3.31	0.82	3418.86
34920	3.30	0.82	3425.69
34950	3.30	0.82	3432.53
34980	3.30	0.82	3439.36
35010	3.30	0.82	3446.19
35040	3.30	0.82	3453.03
35070	3.29	0.82	3459.86
35100	3.29	0.82	3466.69
35130	3.29	0.82	3473.53
35160	3.29	0.82	3480.36
35190	3.29	0.82	3487.19
35220	3.28	0.82	3494.03
35250	3.28	0.81	3500.78
35280	3.28	0.81	3507.53
35310	3.28	0.81	3514.28
35340	3.27	0.81	3521.03
35370	3.27	0.81	3527.78
35400	3.27	0.81	3534.53
35430	3.27	0.81	3541.28
35460	3.27	0.81	3548.03
35490	3.26	0.81	3554.78
35520	3.26	0.81	3561.53
35550	3.26	0.81	3568.28
35580	3.26	0.81	3575.03
35610	3.25	0.81	3581.78
35640	3.25	0.81	3588.53
35670	3.25	0.81	3595.28
35700	3.25	0.81	3602.03
35730	3.25	0.81	3608.78
35760	3.25	0.81	3615.53
35790	3.25	0.81	3622.28
35820	3.25	0.80	3628.94
35850	3.24	0.80	3635.61
35880	3.24	0.80	3642.28
35910	3.24	0.80	3648.94
35940	3.23	0.80	3655.61
35970	3.23	0.80	3662.28
36000	3.23	0.80	3668.94
36030	3.23	0.80	3675.61
36060	3.22	0.80	3682.28
36090	3.22	0.80	3688.94
36120	3.22	0.80	3695.61
36150	3.22	0.80	3702.28
36180	3.22	0.80	3708.94
36210	3.22	0.80	3715.61
36240	3.22	0.80	3722.28
36270	3.21	0.80	3728.94
36300	3.21	0.80	3735.61
36330	3.21	0.80	3742.28
36360	3.21	0.80	3748.94
36390	3.21	0.80	3755.61
36420	3.21	0.80	3762.28
36450	3.20	0.80	3768.94
36480	3.20	0.80	3775.61
36510	3.20	0.80	3782.28
36540	3.20	0.79	3788.86
36570	3.20	0.79	3795.44
36600	3.20	0.79	3802.03
36630	3.19	0.79	3808.61
36660	3.19	0.79	3815.19
36690	3.19	0.79	3821.78
36720	3.19	0.79	3828.36
36750	3.18	0.79	3834.94
36780	3.18	0.79	3841.53
36810	3.18	0.79	3848.11
36840	3.18	0.79	3854.69
36870	3.18	0.79	3861.28
36900	3.18	0.79	3867.86
36930	3.18	0.79	3874.44
36960	3.17	0.79	3881.03
36990	3.17	0.79	3887.61
37020	3.17	0.79	3894.19
37050	3.17	0.79	3900.78
37080	3.17	0.79	3907.36
37110	3.16	0.79	3913.94
37140	3.16	0.79	3920.53
37170	3.16	0.79	3927.11
37200	3.16	0.79	3933.69
37230	3.16	0.78	3940.19
37260	3.16	0.78	3946.69
37290	3.16	0.78	3953.19
37320	3.15	0.78	3959.69
37350	3.15	0.78	3966.19
37380	3.15	0.78	3972.69
37410	3.15	0.78	3979.19
37440	3.15	0.78	3985.69
37470	3.15	0.78	3992.19
37500	3.14	0.78	3998.69
37530	3.14	0.78	4005.19
37560	3.14	0.78	4011.69
37590	3.14	0.78	4018.19
37620	3.14	0.78	4024.69
37650	3.13	0.78	4031.19
37680	3.13	0.78	4037.69
37710	3.13	0.78	4044.19
37740	3.13	0.78	4050.69
37770	3.13	0.78	4057.19
37800	3.12	0.78	4063.69
37830	3.12	0.78	4070.19
37860	3.12	0.78	4076.69
37890	3.12	0.77	4083.11
37920	3.12	0.77	4089.53
37950	3.11	0.77	4095.94
37980	3.11	0.77	4102.36
38010	3.11	0.77	4108.78
38040	3.11	0.77	4115.19
38070	3.11	0.77	4121.61
38100	3.10	0.77	4128.03
38130	3.10	0.77	4134.44
38160	3.10	0.77	4140.86
38190	3.10	0.77	4147.28
38220	3.10	0.77	4153.69
38250	3.09	0.77	4160.11
38280	3.09	0.77	4166.53
38310	3.09	0.77	4172.94
38340	3.09	0.77	4179.36
38370	3.09	0.77	4185.78
38400	3.08	0.77	4192.19
38430	3.08	0.77	4198.61
38460	3.08	0.77	4205.03
38490	3.08	0.76	4211.36
38520	3.07	0.76	4217.69
38550	3.07	0.76	4224.03
38580	3.07	0.76	4230.36
38610	3.07	0.76	4236.69
38640	3.07	0.76	4243.03
38670	3.06	0.76	4249.36
38700	3.06	0.76	4255.69
38730	3.06	0.76	4262.03
38760	3.06	0.76	4268.36
38790	3.06	0.76	4274.69
38820	3.05	0.76	4281.03
38850	3.05	0.76	4287.36
38880	3.05	0.76	4293.69
38910	3.04	0.76	4300.03
38940	3.04	0.76	4306.36
38970	3.04	0.75	4312.61
39000	3.03	0.75	4318.86
39030	3.03	0.75	4325.11
39060	3.03	0.75	4331.36
39090	3.03	0.75	4337.61
39120	3.03	0.75	4343.86
39150	3.02	0.75	4350.11
39180	3.02	0.75	4356.36
39210	3.02	0.75	4362.61
39240	3.02	0.75	4368.86
39270	3.01	0.75	4375.11
39300	3.01	0.75	4381.36
39330	3.01	0.75	4387.61
39360	3.01	0.75	4393.86
39390	3.00	0.75	4400.11
39420	3.00	0.75	4406.36
39450	3.00	0.74	4412.53
39480	2.99	0.74	4418.69
39510	2.99	0.74	4424.86
39540	2.99	0.74	4431.03
39570	2.99	0.74	4437.19
39600	2.98	0.74	4443.36
39630	2.98	0.74	4449.53
39660	2.98	0.74	4455.69
39690	2.98	0.74	4461.86
39720	2.97	0.74	4468.03
39750	2.97	0.74	4474.19
39780	2.97	0.74	4480.36
39810	2.96	0.74	4486.53
39840	2.96	0.74	4492.69
39870	2.96	0.73	4498.78
39900	2.95	0.73	4504.86
39930	2.95	0.73	4510.94
39960	2.95	0.73	4517.03
39990	2.95	0.73	4523.11
40020	2.94	0.73	4529.19
40050	2.94	0.73	4535.28
40080	2.93	0.73	4541.36
40110	2.93	0.73	4547.44
40140	2.93	0.73	4553.53
40170	2.93	0.73	4559.61
40200	2.92	0.73	4565.69
40230	2.92	0.72	4571.69
40260	2.91	0.72	4577.69
40290	2.91	0.72	4583.69
40320	2.91	0.72	4589.69
40350	2.90	0.72	4595.69
40380	2.90	0.72	4601.69
40410	2.85	0.71	4607.61
40440	2.81	0.70	4613.44
40470	2.78	0.69	4619.19
40500	2.75	0.68	4624.86
40530	2.73	0.68	4630.53
40560	2.72	0.67	4636.11
40590	2.70	0.67	4641.69
40620	2.69	0.67	4647.28
40650	2.68	0.67	4652.86
40680	2.66	0.66	4658.36
40710	2.67	0.66	4663.86
40740	2.66	0.66	4669.36
40770	2.65	0.66	4674.86
40800	2.65	0.66	4680.36
40830	2.64	0.66	4685.86
40860	2.63	0.65	4691.28
40890	2.63	0.65	4696.69
40920	2.62	0.65	4702.11
40950	2.61	0.65	4707.53
40980	2.60	0.65	4712.94
41010	2.60	0.64	4718.28
41040	2.59	0.64	4723.61
41070	2.58	0.64	4728.94
41100	2.58	0.64	4734.28
41130	2.57	0.63	4739.53
41160	2.56	0.63	4744.78
41190	2.55	0.63	4750.03
41220	2.54	0.63	4755.28
41250	2.54	0.63	4760.53
41280	2.53	0.63	4765.78
41310	2.52	0.62	4770.94
41340	2.51	0.61	4776.03
41370	2.50	0.60	4781.03
