10191.00	33.46	26.82	6.64
10221.00	33.56	26.91	6.65
10251.00	33.66	26.91	6.75
10281.00	33.46	26.99	6.47
10311.00	33.66	26.99	6.67
10341.00	33.56	26.99	6.57
10371.00	33.66	26.99	6.67
10401.00	33.56	26.91	6.65
10431.00	33.46	26.91	6.55
10461.00	33.37	26.91	6.46
10491.00	33.37	26.91	6.46
10521.00	33.56	26.99	6.57
10551.00	33.27	26.91	6.36
10581.00	33.27	26.99	6.28
10611.00	33.27	26.91	6.36
10642.00	33.18	26.99	6.19
10672.00	33.18	26.99	6.19
10702.00	33.18	26.91	6.27
10732.00	33.95	26.82	7.13
10762.00	33.18	26.99	6.19
10792.00	33.37	26.99	6.38
10822.00	33.27	26.99	6.28
10852.00	33.37	26.91	6.46
10882.00	33.18	26.99	6.19
10912.00	33.37	26.99	6.38
10942.00	33.27	26.91	6.36
10972.00	32.98	26.99	5.99
11002.00	33.18	26.99	6.19
11032.00	33.27	26.99	6.28
11062.00	33.27	26.99	6.28
11092.00	32.89	26.91	5.98
11122.00	33.27	26.91	6.36
11152.00	33.37	26.99	6.38
11183.00	33.18	26.91	6.27
11213.00	33.18	26.91	6.27
11243.00	33.27	26.99	6.28
11273.00	33.18	26.91	6.27
11303.00	32.89	26.91	5.98
11333.00	33.37	26.99	6.38
11363.00	33.18	26.99	6.19
11393.00	33.27	26.99	6.28
11423.00	33.27	26.99	6.28
11453.00	33.27	26.99	6.28
11483.00	33.46	26.99	6.47
11513.00	33.27	26.91	6.36
11543.00	33.08	26.99	6.09
11573.00	33.27	26.99	6.28
11603.00	33.18	26.91	6.27
11633.00	33.18	26.91	6.27
11663.00	33.18	26.99	6.19
11693.00	33.18	26.99	6.19
11724.00	33.08	26.99	6.09
11754.00	33.27	26.91	6.36
11784.00	33.27	26.99	6.28
11814.00	33.75	26.91	6.84
11844.00	32.89	26.91	5.98
11874.00	33.08	26.99	6.09
11904.00	32.89	26.99	5.90
11934.00	32.98	26.99	5.99
11964.00	32.89	26.99	5.90
11994.00	32.98	26.99	5.99
12024.00	32.98	26.99	5.99
12054.00	32.98	26.99	5.99
12084.00	33.08	26.99	6.09
12114.00	33.18	26.99	6.19
12144.00	33.27	26.99	6.28
12174.00	32.98	26.99	5.99
12265.00	32.98	26.99	5.99
12295.00	32.79	26.99	5.80
12325.00	32.98	26.99	5.99
12355.00	32.98	26.99	5.99
12385.00	32.70	26.99	5.71
12415.00	32.79	26.99	5.80
12445.00	32.89	26.99	5.90
12475.00	32.89	26.99	5.90
12505.00	32.79	26.99	5.80
12535.00	32.98	26.99	5.99
12565.00	32.89	26.91	5.98
12595.00	32.60	26.99	5.61
12625.00	32.60	26.99	5.61
12655.00	32.79	26.99	5.80
12685.00	32.79	26.99	5.80
12715.00	32.79	26.99	5.80
12745.00	32.60	26.99	5.61
12775.00	32.60	26.99	5.61
12806.00	32.79	26.99	5.80
12836.00	32.98	26.99	5.99
12866.00	32.89	26.91	5.98
12896.00	32.89	26.91	5.98
