Time	Cell	Background	różnica
31707	32.13	26.19	5.94
31738	32.03	26.10	5.93
31768	32.03	26.10	5.93
31798	32.03	26.10	5.93
31828	32.13	26.10	6.03
31858	32.03	26.10	5.93
31888	32.03	26.02	6.01
31918	32.13	26.10	6.03
31948	32.03	26.19	5.84
31978	32.03	26.19	5.84
32008	32.13	26.19	5.94
32038	31.94	26.19	5.75
32068	31.85	26.10	5.75
32098	32.13	26.10	6.03
32128	32.03	26.10	5.93
32158	32.13	26.19	5.94
32188	32.13	26.10	6.03
32218	32.03	26.10	5.93
32248	32.13	26.10	6.03
32279	32.13	26.10	6.03
32309	32.22	26.10	6.12
32339	32.13	26.10	6.03
32369	32.13	26.10	6.03
32399	32.03	26.10	5.93
32429	32.22	26.10	6.12
32459	32.13	26.19	5.94
32489	32.13	26.10	6.03
32519	32.13	26.19	5.94
32549	32.03	26.10	5.93
32579	32.03	26.10	5.93
32609	32.03	26.10	5.93
32639	32.13	26.10	6.03
32669	32.13	26.10	6.03
32639	32.13	26.10	6.03
32669	32.13	26.10	6.03
32699	32.22	26.10	6.12
32729	32.22	26.10	6.12
32759	32.22	26.10	6.12
32789	32.13	26.02	6.11
32819	32.22	26.10	6.12
32850	32.22	26.10	6.12
32880	32.13	26.19	5.94
32910	32.03	26.19	5.84
32940	32.13	26.28	5.85
32970	32.22	26.10	6.12
33000	32.03	26.02	6.01
33030	32.13	26.10	6.03
33060	31.94	26.10	5.84
33090	32.03	26.10	5.93
33120	32.13	26.10	6.03
33150	32.22	26.10	6.12
33180	32.13	26.10	6.03
33210	32.13	26.02	6.11
33240	32.13	26.10	6.03
33270	32.13	26.10	6.03
33300	32.13	26.10	6.03
33330	32.03	26.02	6.01
33360	32.03	26.02	6.01
33390	32.13	26.10	6.03
33421	32.03	26.02	6.01
33451	32.13	26.02	6.11
33481	32.13	26.02	6.11
33511	32.03	26.02	6.01
33541	32.03	25.93	6.10
33571	32.13	26.10	6.03
33601	32.13	26.02	6.11
33631	32.03	26.02	6.01
33661	32.13	26.02	6.11
33691	32.13	26.02	6.11
33721	32.13	26.02	6.11
33751	32.03	26.10	5.93
33781	32.03	26.02	6.01
33811	32.03	26.10	5.93
33841	32.13	26.10	6.03
33871	32.22	26.10	6.12
33901	31.94	26.02	5.92
33931	32.03	26.02	6.01
33962	32.13	26.02	6.11
33992	32.13	26.10	6.03
33931	32.03	26.02	6.01
33962	32.13	26.02	6.11
33992	32.13	26.10	6.03
34022	32.03	26.02	6.01
34052	32.13	26.02	6.11
34082	32.13	26.02	6.11
34112	32.03	26.02	6.01
34142	32.03	26.10	5.93
34172	32.03	26.02	6.01
34202	32.13	26.10	6.03
34232	32.13	25.93	6.20
34262	32.13	26.10	6.03
34292	32.13	26.10	6.03
34322	32.13	26.10	6.03
34352	32.13	26.10	6.03
34382	32.13	26.10	6.03
34412	32.03	26.02	6.01
34442	32.03	26.02	6.01
34472	32.13	26.10	6.03
34503	32.13	26.10	6.03
34533	31.94	26.10	5.84
34563	32.13	26.02	6.11
34593	32.13	26.10	6.03
34623	32.13	26.02	6.11
34653	32.13	26.02	6.11
34683	32.13	26.02	6.11
34713	32.13	26.02	6.11
34743	32.13	26.02	6.11
34773	32.03	26.10	5.93
34803	32.22	26.10	6.12
34833	32.22	26.10	6.12
34863	32.22	26.10	6.12
34893	32.13	26.10	6.03
34923	32.13	26.02	6.11
34953	32.13	26.02	6.11
34983	32.13	26.02	6.11
35013	32.13	26.02	6.11
35043	32.13	25.93	6.20
35074	32.22	26.02	6.20
35104	32.13	26.02	6.11
35134	32.13	26.02	6.11
35164	32.22	26.10	6.12
35194	32.03	26.10	5.93
35224	32.22	26.10	6.12
35254	32.13	26.10	6.03
35194	32.03	26.10	5.93
35224	32.22	26.10	6.12
35254	32.13	26.10	6.03
35284	32.13	26.10	6.03
35314	32.13	26.02	6.11
35344	32.22	26.10	6.12
35374	32.13	26.10	6.03
35404	32.13	26.10	6.03
35434	32.03	26.02	6.01
35464	31.94	26.19	5.75
35494	32.13	26.10	6.03
35524	32.22	26.10	6.12
35554	32.13	26.10	6.03
35584	32.22	26.10	6.12
35615	32.22	26.19	6.03
35645	32.22	26.10	6.12
35675	32.22	26.10	6.12
35705	32.13	26.10	6.03
35735	32.22	26.10	6.12
35765	32.22	26.02	6.20
35795	32.13	26.02	6.11
35825	32.13	26.02	6.11
35855	32.22	26.10	6.12
35885	32.13	26.10	6.03
35915	32.13	26.10	6.03
35945	32.22	26.02	6.20
35975	32.22	26.10	6.12
36005	32.22	26.19	6.03
36035	32.22	26.10	6.12
36065	32.22	26.10	6.12
36095	32.22	26.10	6.12
36125	32.03	26.10	5.93
36156	32.32	26.10	6.22
36186	32.22	26.10	6.12
36216	32.22	26.10	6.12
36246	32.22	26.10	6.12
36276	32.22	26.10	6.12
36306	32.13	26.10	6.03
36336	32.13	26.10	6.03
36366	32.13	26.10	6.03
36396	32.13	26.10	6.03
36426	32.13	26.10	6.03
36456	32.22	26.10	6.12
36486	32.22	26.10	6.12
36516	32.22	26.10	6.12
36546	32.22	26.02	6.20
36576	32.13	26.02	6.11
36606	32.13	26.02	6.11
36636	32.13	26.10	6.03
36666	32.22	26.10	6.12
36696	32.13	26.10	6.03
36726	32.03	26.02	6.01
36757	32.13	26.10	6.03
36787	32.22	26.10	6.12
36817	32.03	26.10	5.93
36847	32.13	26.02	6.11
36877	32.13	26.02	6.11
36907	32.13	26.10	6.03
36937	32.13	26.02	6.11
36967	32.13	26.02	6.11
36997	32.22	26.10	6.12
37027	32.13	26.10	6.03
37057	32.13	26.02	6.11
37087	32.03	26.10	5.93
37117	31.85	26.10	5.75
37147	32.03	26.02	6.01
37177	32.13	26.10	6.03
37207	32.03	26.02	6.01
37237	31.94	26.02	5.92
37267	32.03	26.10	5.93
37298	31.94	26.10	5.84
37328	32.03	26.10	5.93
37358	32.03	26.10	5.93
37388	32.03	26.10	5.93
37418	32.03	26.10	5.93
37448	32.03	26.10	5.93
37478	32.13	26.02	6.11
37508	32.13	26.02	6.11
37538	32.13	26.02	6.11
37568	32.03	26.10	5.93
37628	32.13	26.19	5.94
37658	32.03	26.10	5.93
37688	32.03	26.10	5.93
37718	32.03	26.10	5.93
37748	32.03	26.19	5.84
37778	31.94	26.02	5.92
37808	31.94	26.10	5.84
37839	31.85	26.02	5.83
37869	32.03	26.10	5.93
37899	32.03	26.02	6.01
37929	32.03	26.10	5.93
37959	31.94	26.02	5.92
37989	31.94	26.02	5.92
38019	32.03	26.02	6.01
38049	31.94	26.02	5.92
38079	31.94	26.10	5.84
38109	32.03	26.10	5.93
38139	31.94	26.10	5.84
38169	32.03	26.10	5.93
38199	32.03	26.10	5.93
38229	32.03	26.10	5.93
38259	32.13	26.10	6.03
38289	32.13	26.10	6.03
38319	32.03	26.10	5.93
38349	32.03	26.10	5.93
38380	31.94	26.02	5.92
38410	31.94	26.02	5.92
38440	32.03	26.02	6.01
38470	32.03	26.19	5.84
38500	32.13	26.10	6.03
38530	32.03	26.10	5.93
38560	32.13	26.02	6.11
38590	31.85	26.02	5.83
38620	31.85	26.10	5.75
38650	31.85	26.10	5.75
38680	31.75	26.02	5.73
38710	31.85	26.02	5.83
38740	32.03	26.02	6.01
38770	31.94	26.02	5.92
38800	32.03	26.02	6.01
38800	32.03	26.02	6.01
38830	32.03	26.10	5.93
38860	31.94	25.93	6.01
38890	31.94	26.02	5.92
38920	31.94	26.02	5.92
38950	31.94	26.19	5.75
38981	31.94	26.02	5.92
39011	32.03	26.02	6.01
39041	32.03	26.10	5.93
39071	32.03	26.02	6.01
39101	32.13	26.10	6.03
39131	32.03	26.19	5.84
39161	32.03	26.10	5.93
39191	31.94	26.10	5.84
39221	32.13	26.02	6.11
39251	31.85	26.10	5.75
39281	31.85	26.10	5.75
39311	32.03	26.10	5.93
39341	32.03	26.19	5.84
39371	32.03	26.10	5.93
39401	32.03	26.02	6.01
39431	32.13	26.10	6.03
39461	32.03	26.02	6.01
39492	32.03	26.02	6.01
39522	32.13	26.02	6.11
39552	32.13	26.10	6.03
39582	32.13	26.02	6.11
39612	32.13	26.10	6.03
39642	32.13	26.10	6.03
39672	32.03	26.10	5.93
39702	32.22	26.10	6.12
39732	32.13	26.02	6.11
39762	32.13	26.02	6.11
39792	32.22	26.02	6.20
39822	32.13	26.02	6.11
39852	32.03	26.02	6.01
39882	32.13	26.02	6.11
39912	32.13	26.19	5.94
39942	32.13	26.02	6.11
39972	32.13	26.02	6.11
40002	32.22	26.10	6.12
39912	32.13	26.19	5.94
39942	32.13	26.02	6.11
39972	32.13	26.02	6.11
40002	32.22	26.10	6.12
40032	32.13	26.02	6.11
40063	32.13	25.93	6.20
40093	32.03	26.02	6.01
40123	32.03	26.02	6.01
40153	32.13	26.10	6.03
40183	32.13	26.02	6.11
40213	32.03	26.02	6.01
40243	32.13	26.10	6.03
40273	32.13	26.10	6.03
40303	32.03	26.10	5.93
40333	32.13	25.93	6.20
40363	32.13	26.10	6.03
40393	32.22	26.10	6.12
40423	32.22	26.02	6.20
40453	32.22	26.10	6.12
40483	32.22	26.10	6.12
40513	32.13	26.10	6.03
40543	32.13	26.10	6.03
40573	32.22	26.19	6.03
40604	32.22	26.19	6.03
40634	32.13	26.10	6.03
40664	32.22	26.10	6.12
40694	32.22	26.10	6.12
40724	32.22	26.10	6.12
40754	32.32	26.02	6.30
40784	32.13	26.10	6.03
40814	32.03	26.02	6.01
40844	32.22	26.10	6.12
40874	32.13	26.10	6.03
40904	32.22	26.02	6.20
40934	32.22	26.02	6.20
40964	32.13	26.02	6.11
40994	32.22	26.02	6.20
41024	32.22	26.02	6.20
41054	32.13	26.10	6.03
41084	32.22	26.10	6.12
41114	32.22	26.19	6.03
41144	32.22	26.19	6.03
41166	32.13	26.10	6.03
41196	32.22	26.10	6.12
41226	32.22	26.10	6.12
41256	32.22	26.10	6.12
41166	32.13	26.10	6.03
41196	32.22	26.10	6.12
41226	32.22	26.10	6.12
41256	32.22	26.10	6.12
41286	32.22	26.10	6.12
41316	32.22	26.02	6.20
41346	32.22	26.10	6.12
41376	32.03	26.10	5.93
41406	32.13	26.10	6.03
41436	32.22	26.10	6.12
41466	32.22	26.10	6.12
41496	32.13	26.10	6.03
41526	32.22	26.10	6.12
41556	32.03	26.10	5.93
41586	32.13	26.10	6.03
41616	32.13	26.10	6.03
41647	32.22	26.19	6.03
41677	32.13	26.10	6.03
41707	32.13	26.10	6.03
41737	32.13	26.10	6.03
41767	32.13	26.02	6.11
